PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Delta_T,Upslope,Downslope,DNP,RWI,State,Channel
0.15230256642945916,0.1455,0.8255,0.971,0.5295,0.1455,0.8255,0.0685,1.705465703647521e-05,-2.7506363479044366e-06,0.02420054684027383,0.9999999641259221,Ischaemia,IR
0.15476641783367756,0.1545,0.8185,0.973,0.5405,0.1545,0.8185,0.0,1.6061270000345155e-05,-3.044804400260221e-06,0.0004830608542255343,0.9999999646976431,Ischaemia,IR
0.1552155685614029,0.1495,0.8285,0.978,0.539,0.1495,0.8285,0.0,1.680829920141678e-05,-2.9663042720258406e-06,0.02864307022725875,0.999999964801076,Ischaemia,IR
0.14877871331155756,0.1495,0.8255,0.975,0.5325,0.1495,0.8255,0.074,1.6284598253588035e-05,-2.9625441520054812e-06,0.007943978675025365,0.999999963279487,Ischaemia,IR
0.15320539210483208,0.157,0.818,0.975,0.5435,0.157,0.818,0.0,1.59489658939461e-05,-2.828080008118912e-06,0.00032236253602610813,0.9999999643422447,Ischaemia,IR
0.15591861185073883,0.1555,0.82,0.9755,0.544,0.1555,0.82,0.0735,1.640777035194843e-05,-2.6496091726334466e-06,0.015717922355410682,0.999999964964086,Ischaemia,IR
0.15203192662848214,0.157,0.8225,0.9795,0.541,0.157,0.8225,0.0,1.5906700759123356e-05,-2.8424336785158122e-06,6.9696793061552896e-06,0.9999999640692507,Ischaemia,IR
0.1539673588537301,0.1495,0.8315,0.981,0.539,0.1495,0.8315,0.0715,1.673742108850441e-05,-2.7250909784363444e-06,0.027735779687530254,0.9999999645222328,Ischaemia,IR
0.15081857554591904,0.147,0.8315,0.9785,0.5345,0.147,0.8315,0.0715,1.6427430777087894e-05,-2.973628244726939e-06,3.755954265617962e-05,0.9999999637822438,Ischaemia,IR
0.15456550321742674,0.1485,0.82,0.9685,0.526,0.1485,0.82,0.0715,1.6738410569703535e-05,-2.599881645421213e-06,0.005210238012453111,0.9999999646618775,Ischaemia,IR
0.1481109733726844,0.155,0.824,0.979,0.549,0.155,0.824,0.0765,1.5721769548616678e-05,-2.705510347459695e-06,0.006169880921368771,0.9999999631226472,Ischaemia,IR
