Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_Width_Ratio,15,Congestion,31,31,0.4620,,,1.5000,0.0968,1.0000,1.0000,0.5254,0.5484,0.1765,,0.9032,3,31,0,28
IR_Variance,15,Congestion,31,31,0.3975,,,0.0841,0.9355,0.1290,0.5179,0.6667,0.5323,0.6667,1.0741,0.5000,29,4,27,2
IR_Upslope,15,Congestion,31,31,0.3673,,,12.5070,0.0968,0.9355,0.6000,0.5088,0.5161,0.1667,1.5000,0.9655,3,29,2,28
IR_Fall_Time,15,Congestion,31,31,0.3398,,,0.4830,0.9677,0.0645,0.5085,0.6667,0.5161,0.6667,1.0345,0.5000,30,2,29,1
IR_Datum_Area_Ratio,15,Congestion,31,31,0.3309,,,5.8319,0.0323,1.0000,1.0000,0.5082,0.5161,0.0625,,0.9677,1,31,0,30
IR_SDPPG_d_a,15,Congestion,31,31,0.3299,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_Slope_Length_Ratio,15,Congestion,31,31,0.3174,,,1.2470,0.0323,1.0000,1.0000,0.5082,0.5161,0.0625,,0.9677,1,31,0,30
IR_Upslope_Length_Ratio,15,Congestion,31,31,0.3174,,,0.5550,0.0323,1.0000,1.0000,0.5082,0.5161,0.0625,,0.9677,1,31,0,30
IR_End_Datum_Area,15,Congestion,31,31,0.2862,,,0.0962,0.0323,1.0000,1.0000,0.5082,0.5161,0.0625,,0.9677,1,31,0,30
IR_IPAR,15,Congestion,31,31,0.2841,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_Downslope,15,Congestion,31,31,0.2175,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_Slope_Ratio,15,Congestion,31,31,0.1977,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_S_AUC,15,Congestion,31,31,0.1935,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_D_AUC,15,Congestion,31,31,0.0749,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_Start_Datum_Area,15,Congestion,31,31,0.0687,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_AUC,15,Congestion,31,31,0.0604,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_Max_Start_Datum_Diff,15,Congestion,31,31,0.0447,,,0.0002,1.0000,0.0323,0.5082,1.0000,0.5161,0.6739,1.0333,0.0000,31,1,30,0
IR_Amplitude,15,Congestion,31,31,0.0312,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_PI,15,Congestion,31,31,0.0312,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,31,0,31
IR_Fall_Time,3,Ischaemia,30,30,1.0000,1.0000,1.0000,0.8170,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,0.0000,30,30,0,0
IR_Upslope,3,Ischaemia,30,30,0.9867,0.9630,1.0000,11.3390,0.9667,0.9333,0.9355,0.9655,0.9500,0.9508,14.5000,0.0357,29,28,2,1
IR_Pulse_Width,3,Ischaemia,30,30,0.9822,0.9497,1.0000,0.9700,0.9333,0.9667,0.9655,0.9355,0.9500,0.9492,28.0000,0.0690,28,29,1,2
