State,Channel,Depth_mm,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
Congestion,IR,3,6,4.0597411891690474e+154,1.5041644415841432e+158,1.5053007774934954e+157,1.3532283898843123e+158,0.11123774735631904,-4.548026970026406e+156,8.204644625148987e+155,-5.543234567510375,4.0597411891690474e+154
Congestion,IR,3,7,3.268737188113297e+147,7.167186943204962e+149,7.167186943204962e+149,0.0,,-8.79280581105917e+149,0.0,,3.268737188113297e+147
Congestion,IR,3,8,4.870053235474338e+146,3.8224860401834467e+149,9.124832883448496e+148,2.90513270003415e+149,0.3140934967735289,2.0606803347839212e+148,5.017274156200748e+148,0.41071710865892547,4.870053235474338e+146
Congestion,IR,3,9,1.031225882084368e+145,1.0925172545615061e+148,3.88972896854393e+147,7.025131319673282e+147,0.5536877236231976,-1.2089206449608135e+147,2.016597179568963e+146,-5.994854387425128,1.031225882084368e+145
Congestion,IR,3,10,5.441187064348266e+142,6.300997915736163e+145,2.4818983473738202e+145,3.8136583864688034e+145,0.6507919944218954,-1.2350783219792388e+145,8.134343649943156e+143,-15.183503121212118,5.441187064348266e+142
Congestion,IR,3,11,2.139236643341849e+140,2.4503892809313146e+143,9.6462633046244e+142,1.4836237155879972e+143,0.6501826038013516,-4.928591507873181e+142,3.016443732511672e+141,-16.33907987326964,2.139236643341849e+140
Congestion,IR,3,12,7.663087302253312e+137,2.0926512728945104e+140,2.0926512728945104e+140,0.0,,-1.9627708733572442e+140,0.0,,7.663087302253312e+137
Congestion,IR,3,13,5.189965895288098e+136,2.2099169600866687e+139,7.278426981074261e+138,1.4768843306098244e+139,0.49282308913582323,6.460900182007796e+138,1.082356472353868e+139,0.5969290475952783,5.189965895288098e+136
Congestion,IR,3,14,1.6219069744314137e+135,1.6191302381028122e+138,5.478619676744227e+137,1.0696463652240763e+138,0.5121898091615102,-1.3972712028881168e+137,4.472233848973516e+136,-3.124325001942427,1.6219069744314137e+135
Congestion,IR,3,15,1.2024904102461197e+133,1.3723503319295266e+136,5.38811114831012e+135,8.323367276381334e+135,0.6473475180651471,-2.727429156099462e+135,1.739180291956663e+134,-15.682268070269878,1.2024904102461197e+133
